E [GeV], Exposure [cm^2 s sr]
453685.08004972374, 996843987190.215
454908.0787281256, 2442881846039.4478
452847.63752065913, 1552875161656.3638
478472.637960273, 3987086076717.483
505897.72245052824, 6184044348188.707
535519.2425264848, 9001340984552.918
591284.7563779494, 12552185343715.602
649169.7289564961, 17610299040990.785
713739.3625938015, 24467956836564.91
784289.8528375078, 33831439287243.316
887530.587812208, 48918018604955.54
989703.6453540862, 68380943791742.34
1112262.107018292, 95836450328564.17
1269607.1996493118, 132297230495563.14
1460534.2399069204, 184038539979832.4
1680173.4162579593, 256015821881051.47
1947944.6243192093, 353616723922983.8
2276036.570475316, 482924944922716.44
2680167.8695259662, 667246303709033.8
3180715.963444925, 867220060323738.4
3774746.4086653255, 1073244659611683
4528254.784699802, 1361693703477473.8
5073793.362532624, 1908590836802329.8
5234236.020508601, 3195465013698605.5
5350247.654627141, 4936216644512613
5522737.752847594, 8031986607843800
5691719.918966255, 12708415208293052
5847156.267736564, 19986341425585260
6163622.933682889, 32391387577117196
6163622.933682889, 52683160543037220
6673457.211499812, 7236962175196286
6550241.363721127, 10539049444485260
6740739.970256869, 5181747837280285
6913717.337967747, 3445732329641743.5
6490189.25156871, 14413874837253662
8480499.876891384, 3391123625210249
10064317.852296289, 3893767399793906
11943929.63887158, 4466181976752654
14174577.682457246, 5125459553248983
16821821.50689537, 5889849153740520
19963464.531296924, 6777203069624680
23691840.739659775, 7757056670146244
28116528.40885629, 8913911657973607
33367570.65240064, 10256865307393474
39599297.43290233, 11770937357638134
46994861.37348301, 13526405723106444
55771620.677236065, 15523112536723492
66187527.3606108, 17838164614894646
78548708.55312389, 20363231663256332
93218463.68044561, 23276528107553210
110627941.96120474, 26606619700710068
131288814.03286746, 30332714082291780
155808310.13019794, 34672309562181496
184907066.7935992, 39475657789076120
219440306.62833077, 45063602784962530
260422973.59509432, 51442544841465600
309059562.5669575, 58880150335215690
366779519.85369074, 67125955319787950
435279255.1272679, 75121202972574190
516571999.49366975, 83073001149674690
613046975.05712, 92599162501694510
727539614.9908606, 102944769737573260
863414897.9068551, 114446236121498930
1024666245.7505809, 124189560450202180
1216032891.8645287, 139402753136734780
1443139168.7087495, 154567665627321950
1712659808.9530857, 173896388999473340
2032516118.197878, 193324898844724030
2412108784.9077616, 214924051777958200
2862594169.923702, 237045903794954600
3397212195.798411, 264228472091932160
4031675472.7370653, 288736901523969860
4784631097.690226, 311781456687225500
5678208699.035698, 337111243265280640
6738670834.073182, 363535027057003840
7997184854.741262, 392549340574170240
9490738926.959208, 423879332983921500
11263229125.721317, 456499495256780350
13366749556.047739, 494240377290303200
15863123416.89667, 532275261405826300
18825720006.539764, 574757003638156000
22341611071.822887, 620629281846796700
26514129877.16831, 669276054346838000
31465908205.24879, 722692049574456600
37342480547.8431, 780371261045402100
44316561415.29792, 840425703872748200
52593121476.21406, 909907505446176600
62415411716.871, 979930571378651300
74072112672.53633, 1052551696320804700
87224299902.78246, 1108387770742108500
