log10(E) [eV], veff [km^3 sr], aeff [km^2 sr]
14.66, 3.324620e-02, 1.234755e-06
14.66, 2.132181e-02, 7.926316e-07
14.66, 5.217998e-02, 1.942436e-06
14.68, 8.300644e-02, 3.170296e-06
14.70, 1.251648e-01, 4.917188e-06
14.73, 1.770396e-01, 7.157336e-06
14.77, 2.349362e-01, 9.980759e-06
14.81, 3.146664e-01, 1.400267e-05
14.85, 4.172315e-01, 1.945548e-05
14.89, 5.508885e-01, 2.690077e-05
14.95, 7.501437e-01, 3.889673e-05
15.00, 9.950464e-01, 5.437250e-05
15.05, 1.319016e+00, 7.620350e-05
15.10, 1.710432e+00, 1.051950e-04
15.16, 2.228356e+00, 1.463366e-04
15.23, 2.905003e+00, 2.035687e-04
15.29, 3.749293e+00, 2.811752e-04
15.36, 4.770958e+00, 3.839935e-04
15.43, 6.125393e+00, 5.305550e-04
15.50, 7.378211e+00, 6.895623e-04
15.58, 8.469585e+00, 8.533810e-04
15.66, 9.929334e+00, 1.082739e-03
15.71, 1.223350e+01, 1.401859e-03
15.75, 1.498123e+01, 1.788847e-03
15.80, 1.719607e+01, 2.164846e-03
15.87, 1.835435e+01, 2.458458e-03
15.93, 1.895762e+01, 2.696422e-03
16.00, 2.027974e+01, 3.096095e-03
16.08, 2.168623e+01, 3.551245e-03
16.15, 2.321830e+01, 4.075464e-03
16.23, 2.490799e+01, 4.683261e-03
16.30, 2.677325e+01, 5.388833e-03
16.37, 2.864414e+01, 6.167955e-03
16.45, 3.078650e+01, 7.087818e-03
16.52, 3.315264e+01, 8.155655e-03
16.60, 3.562687e+01, 9.359556e-03
16.67, 3.835816e+01, 1.075540e-02
16.75, 4.126695e+01, 1.234307e-02
16.82, 4.447906e+01, 1.418386e-02
16.90, 4.764991e+01, 1.619164e-02
16.97, 5.114065e+01, 1.850812e-02
17.04, 5.491459e+01, 2.115602e-02
17.12, 5.883987e+01, 2.411879e-02
17.19, 6.324310e+01, 2.756938e-02
17.27, 6.773803e+01, 3.138872e-02
17.34, 7.277800e+01, 3.583192e-02
17.42, 7.822789e+01, 4.090408e-02
17.49, 8.434565e+01, 4.681803e-02
17.56, 9.062007e+01, 5.337461e-02
17.64, 9.561327e+01, 5.973196e-02
17.71, 9.972751e+01, 6.605476e-02
17.79, 1.048904e+02, 7.362940e-02
17.86, 1.100720e+02, 8.185562e-02
17.94, 1.155539e+02, 9.100091e-02
18.01, 1.184521e+02, 9.874823e-02
18.08, 1.256503e+02, 1.108449e-01
18.16, 1.317051e+02, 1.229031e-01
18.23, 1.401265e+02, 1.382722e-01
18.31, 1.473717e+02, 1.537206e-01
18.38, 1.550445e+02, 1.708950e-01
18.46, 1.618803e+02, 1.884849e-01
18.53, 1.708732e+02, 2.100989e-01
18.61, 1.768762e+02, 2.295866e-01
18.68, 1.809787e+02, 2.479103e-01
18.75, 1.854793e+02, 2.680510e-01
18.83, 1.896470e+02, 2.890616e-01
18.90, 1.942234e+02, 3.121321e-01
18.98, 1.989687e+02, 3.370439e-01
19.05, 2.033498e+02, 3.629815e-01
19.13, 2.089903e+02, 3.929908e-01
19.20, 2.137124e+02, 4.232339e-01
19.27, 2.191808e+02, 4.570129e-01
19.35, 2.248499e+02, 4.934879e-01
19.42, 2.304216e+02, 5.321689e-01
19.50, 2.365059e+02, 5.746422e-01
19.57, 2.428132e+02, 6.205053e-01
19.65, 2.486924e+02, 6.682570e-01
19.72, 2.561301e+02, 7.235049e-01
19.80, 2.624612e+02, 7.791831e-01
19.87, 2.683023e+02, 8.369271e-01
19.94, 2.695609e+02, 8.813247e-01
